Country,Code,latitude,longitude
Abkhazia,,,
Afghanistan,AFG,33.93911,67.709953
Albania,ALB,41.153332,20.168331
Alderney,ATG,,
Algeria,DZA,28.033886,1.659626
American Samoa,ASM,-14.270972,-170.132217
Andalusia,AUS,,
Andorra,AND,42.546245,1.601554
Angola,AGO,-11.202692,17.873887
Anguilla,AIA,18.220554,-63.068615
Antigua and Barbuda,ATG,17.060816,-61.796428
Arameans Suryoye,,,
Argentina,ARG,-38.416097,-63.616672
Armenia,ARM,40.069099,45.038189
Artsakh,,,
Aruba,ABW,12.52111,-69.968338
Asturias,,,
Australia,AUS,-25.274398,133.775136
Austria,AUT,47.516231,14.550072
Azerbaijan,AZE,40.143105,47.576927
Bahamas,BHS,25.03428,-77.39628
Bahrain,BHR,25.930414,50.637772
Bangladesh,BGD,23.684994,90.356331
Barawa,BES,,
Barbados,BRB,13.193887,-59.543198
Basque Country,,,
Belarus,BLR,53.709807,27.953389
Belgium,BEL,50.503887,4.469936
Belize,BLZ,17.189877,-88.49765
Benin,BEN,9.30769,2.315834
Bermuda,BMU,32.321384,-64.75737
Bhutan,BTN,27.514162,90.433601
Bolivia,BOL,-16.290154,-63.588653
Bonaire,,,
Bosnia and Herzegovina,BIH,43.915886,17.679076
Botswana,BWA,-22.328474,24.684866
Brazil,BRA,-14.235004,-51.92528
British Virgin Islands,VGB,18.420695,-64.639968
Brittany,IOT,,
Brunei,BRN,4.535277,114.727669
Bulgaria,BGR,42.733883,25.48583
Burkina Faso,BFA,12.238333,-1.561593
Burma,,,
Burundi,BDI,-3.373056,29.918886
Cambodia,KHM,12.565679,104.990963
Cameroon,CMR,7.369722,12.354722
Canada,CAN,56.130366,-106.346771
Canary Islands,CYM,,
Cape Verde,CPV,16.002082,-24.013197
Cascadia,,,
Catalonia,,,
Cayman Islands,CYM,19.513469,-80.566956
Central African Republic,CAF,6.611111,20.939444
Central Spain,,,
Chad,TCD,15.454166,18.732207
Chagos Islands,,,
Chameria,,,
Chile,CHL,-35.675147,-71.542969
China,CHN,35.86166,104.195397
Chinese Taipei,,,
Colombia,COL,4.570868,-74.297333
Comoros,COM,-11.875001,43.872219
Congo,COG,-0.228021,15.827659
Cook Islands,COK,-21.236736,-159.777671
Corsica,,,
Costa Rica,CRI,9.748917,-83.753428
County of Nice,,,
Crimea,,,
Croatia,HRV,45.1,15.22
Cuba,CUB,21.521757,-77.781167
Curaçao,CUW,,
Cyprus,CYP,35.126413,33.429859
Czech Republic,CZE,49.817492,15.472962
Czechoslovakia,CSK,,
DR Congo,COD,-4.038333,21.758664
Darfur,,,
Denmark,DNK,56.26392,9.501785
Djibouti,DJI,11.825138,42.590275
Dominica,DMA,15.414999,-61.370976
Dominican Republic,DOM,18.735693,-70.162651
East Timor,TMP,,
Ecuador,ECU,-1.831239,-78.183406
Egypt,EGY,26.820553,30.802498
El Salvador,SLV,13.794185,-88.89653
Ellan Vannin,,,
England,GBR,55.378051,-3.435973
Equatorial Guinea,GNQ,1.650801,10.267895
Eritrea,ERI,15.179384,39.782334
Estonia,EST,58.595272,25.013607
Eswatini,SWZ,,
Ethiopia,ETH,9.145,40.489673
FR Yugoslavia,YUG,,
