match_start,stage_name,group_name,round_name,home_team_name,home_team_short_code,away_team_name,away_team_short_code,stats_home_score,stats_away_score,stats_halftime_score,stats_fulltime_score,venue_name,venue_capacity,venue_city
2019-06-25 13:00:00,Qualification,Preliminary Round,2,Tre Penne,TRP,FC Santa Coloma,FCC,0,1,0-0,0-1,NaN,NaN,NaN
2019-06-25 18:45:00,Qualification,Preliminary Round,2,KF Feronikeli,FER,Lincoln Red Imps FC,LIN,1,0,1-0,1-0,NaN,NaN,NaN
2019-06-28 18:45:00,Qualification,Preliminary Round,1,KF Feronikeli,FER,FC Santa Coloma,FCC,2,1,0-0,2-1,NaN,NaN,NaN
2019-07-09 13:00:00,Qualification,Qualification,14,FC Astana,FCA,FC CFR 1907 Cluj,CFR,1,0,0-0,1-0,Astana Arena,30000,Nur-Sultan
2019-07-09 14:00:00,Qualification,Qualification,14,FC Ararat Armenia,ARA,AIK,AIK,2,1,2-1,2-1,Vazgen Sargsyan Republican Stadium,14403,Yerevan
2019-07-09 16:00:00,Qualification,Qualification,14,HJK Helsinki,HJK,HB Torshavn,HB,3,0,2-0,3-0,Helsinki Football Stadium,10770,Helsinki
2019-07-09 16:00:00,Qualification,Qualification,14,Nomme Kalju FC,KAL,FK Shkendija,SHK,0,1,0-0,0-1,Hiiu kunstmurustaadion,1000,Tallinn
2019-07-09 17:45:00,Qualification,Qualification,14,FK Sarajevo,FKS,Celtic Glasgow,CEL,1,3,1-1,1-3,Asim Ferhatovic Hase,34630,Sarajevo
2019-07-09 18:00:00,Qualification,Qualification,14,FK Suduva Marijampole,SUD,FK Red Star Belgrade,CRZ,0,0,0-0,0-0,Arvi arena,6500,Marijampole
2019-07-09 18:00:00,Qualification,Qualification,14,F91 Dudelange,F91,Valletta FC,VAL,2,2,2-0,2-2,Stade Jos Nosbaum,2558,Dudelange
2019-07-09 18:00:00,Qualification,Qualification,14,The New Saints FC,TNS,KF Feronikeli,FER,2,2,0-0,2-2,Park Hall,2048,Oswestry
2019-07-10 15:30:00,Qualification,Qualification,14,FK Partizani Tirana,PTI,Qarabag FK,QAR,0,0,0-0,0-0,Stadiumi Selman Stermasi,9500,Tirana
2019-07-10 17:00:00,Qualification,Qualification,14,FC BATE Borisov,BAT,GKS Piast Gliwice,PGL,1,1,0-1,1-1,Borisov Arena,13126,Borisov
2019-07-10 17:00:00,Qualification,Qualification,14,FC Sheriff Tiraspol,SHF,FC Saburtalo Tbilisi,SAT,0,3,0-1,0-3,Sheriff Stadium,14000,Tiraspol
2019-07-10 18:00:00,Qualification,Qualification,14,Ferencvarosi TC,FTC,Ludogorets 1945 Razgrad,LUD,2,1,1-1,2-1,Groupama Arena,22000,Budapest
2019-07-10 18:15:00,Qualification,Qualification,14,SK Slovan Bratislava,SLB,FK Sutjeska,SUT,1,1,0-0,1-1,Tehelne Pole Stadion,22500,Bratislava
2019-07-10 18:45:00,Qualification,Qualification,14,Dundalk FC,DUN,Riga FC	,RFC,0,0,0-0,0-0,Oriel Park,4500,Dundalk
2019-07-10 18:45:00,Qualification,Qualification,14,Linfield FC,LIN,Rosenborg BK,RBK,0,2,0-1,0-2,Windsor Park,24734,Belfast
2019-07-10 20:00:00,Qualification,Qualification,14,Valur Reykjavik,VAL,NK Maribor	,MAR,0,3,0-1,0-3,HlÃ­darendi Reykjavik,2000,Reykjavik
2019-07-16 15:00:00,Qualification,Qualification,14,FK Shkendija,SHK,Nomme Kalju FC,KAL,1,2,0-1,1-2,Ecolog Arena,15000,Tetovo
2019-07-16 17:30:00,Qualification,Qualification,14,FC Saburtalo Tbilisi,SAT,FC Sheriff Tiraspol,SHF,1,3,0-3,1-3,Mikheil Meskhi Stadium,27223,Tbilisi
2019-07-16 18:00:00,Qualification,Qualification,14,Valletta FC,VAL,F91 Dudelange,F91,1,1,1-0,1-1,NaN,NaN,NaN
2019-07-16 18:00:00,Qualification,Qualification,14,HB Torshavn,HB,HJK Helsinki,HJK,2,2,1-0,2-2,Gundadalur,5000,Torshavn
2019-07-16 18:45:00,Qualification,Qualification,14,FK Red Star Belgrade,CRZ,FK Suduva Marijampole,SUD,2,1,2-0,2-1,Stadium Rajko Mitic,55538,Belgrade
2019-07-16 18:45:00,Qualification,Qualification,14,KF Feronikeli,FER,The New Saints FC,TNS,0,1,0-0,0-1,Fadil Vokrri Stadium,16200,Pristina
2019-07-17 16:30:00,Qualification,Qualification,14,Riga FC	,RFC,Dundalk FC,DUN,4,5,0-0,0-0,RTU Stadium,3000,Riga
2019-07-17 17:00:00,Qualification,Qualification,14,Qarabag FK,QAR,FK Partizani Tirana,PTI,2,0,0-0,2-0,Baku Olympic Stadium,69870,Baku
2019-07-17 17:00:00,Qualification,Qualification,14,Rosenborg BK,RBK,Linfield FC,LIN,4,0,1-0,4-0,Lerkendal,21421,
2019-07-17 17:00:00,Qualification,Qualification,14,AIK,AIK,FC Ararat Armenia,ARA,3,1,0-0,3-1,Friends Arena,54000,Solna
2019-07-17 17:30:00,Qualification,Qualification,14,Ludogorets 1945 Razgrad,LUD,Ferencvarosi TC,FTC,2,3,1-2,2-3,Ludogorets Arena,10422,Razgrad
2019-07-17 18:00:00,Qualification,Qualification,14,GKS Piast Gliwice,PGL,FC BATE Borisov,BAT,1,2,1-0,1-2,Stadion Miejski w Gliwicach,10037,Gliwice
2019-07-17 18:00:00,Qualification,Qualification,14,FC CFR 1907 Cluj,CFR,FC Astana,FCA,3,1,2-1,3-1,Dr. Constantin Radulescu,23500,Cluj Napoca
2019-07-17 18:15:00,Qualification,Qualification,14,NK Maribor	,MAR,Valur Reykjavik,VAL,2,0,2-0,2-0,Ljudski VRT,12702,Maribor
2019-07-17 18:15:00,Qualification,Qualification,14,FK Sutjeska,SUT,SK Slovan Bratislava,SLB,4,3,0-0,1-1,Stadion Gradski,5214,Niksic
2019-07-17 18:45:00,Qualification,Qualification,14,Celtic Glasgow,CEL,FK Sarajevo,FKS,2,1,1-0,2-1,Celtic Park,60411,Glasgow
2019-07-23 17:00:00,Qualification,Qualification,15,FC Viktoria Plzen,VIK,Olympiacos FC,OLY,0,0,0-0,0-0,Stadion Mesta Plzne,11700,Plzen
2019-07-23 17:30:00,Qualification,Qualification,15,FC Saburtalo Tbilisi,SAT,GNK Dinamo Zagreb,DIN,0,2,0-0,0-2,Mikheil Meskhi Stadium,27223,Tbilisi
2019-07-23 18:00:00,Qualification,Qualification,15,The New Saints FC,TNS,FC Copenhagen,FCC,0,2,0-1,0-2,Park Hall,2048,Oswestry
2019-07-23 18:00:00,Qualification,Qualification,15,PSV Eindhoven,PSV,FC Basel 1893,FCB,3,2,1-1,3-2,Philips Stadion,35000,Eindhoven
