match_start,stage_name,group_name,round_name,home_team_name,home_team_short_code,away_team_name,away_team_short_code,stats_home_score,stats_away_score,stats_halftime_score,stats_fulltime_score,venue_name,venue_capacity,venue_city,latitude,longitude
6/22/2021 18:00,Qualification,"UEFA Champions League 21/22, Preliminary Round",Semi-finals,SS Folgore Falciano Calcio,FFC,FC Prishtina,PRI,0,2,0-0,0-2,Elbasan Arena,12800,Albania,41.10952456,20.08852798
6/22/2021 18:00,Qualification,"UEFA Champions League 21/22, Preliminary Round",Semi-finals,HB Torshavn,HB,Inter Club de Escaldes,ESC,0,1,0-0,0-1,Gundadalur,5000,Torshavn,62.01929,-6.781303
7/7/2021 16:30,Qualification,Qualification,Qualification Round 1,SK Slovan Bratislava,SLB,Shamrock Rovers FC,SHA,2,0,Jan-00,Feb-00,Tehelne Pole Stadion,22500,Bratislava,48.15813437,17.13544612
7/7/2021 16:00,Qualification,Qualification,Qualification Round 1,Bodo/Glimt,BOG,Legia Warsaw,LEG,2,3,2-Jan,3-Feb,Aspmyra Stadium,7354,Bodo,67.28,14.40501
7/7/2021 18:00,Qualification,Qualification,Qualification Round 1,ConnahÃ‚Â´s Quay Nomads FC,CQN,Alashkert,ALA,2,2,2-Jan,2-Feb,Alashkert Stadium,6850,Yerevan,40.154605,44.475231
7/7/2021 17:00,Qualification,Qualification,Qualification Round 1,Malmo FF,MAL,"Riga FC	",RFC,1,0,0-0,Jan-00,Stadion,22500,Malmo,52.51461,13.239665
7/7/2021 17:00,Qualification,Qualification,Qualification Round 1,Maccabi Haifa FC,MAH,FC Kairat Almaty,ALM,1,1,Jan-00,1-Jan,Sammy Ofer Stadium,30874,Haifa,32.783356,34.966765
7/7/2021 17:00,Qualification,Qualification,Qualification Round 1,Ludogorets 1945 Razgrad,LUD,FC Shakhter Soligorsk,SHS,1,0,0-0,Jan-00,Ludogorets Arena,10422,Razgrad,43.814912,27.137877
7/7/2021 17:00,Qualification,Qualification,Qualification Round 1,KF Teuta,TEU,FC Sheriff Tiraspol,SHF,0,4,0-2,0-4,Niko Dovana Stadium,12040,Durres,41.32231371,19.44324489
7/7/2021 17:00,Qualification,Qualification,Qualification Round 1,GNK Dinamo Zagreb,DIN,Valur Reykjavik,VAL,3,2,Feb-00,2-Mar,Maksimir,35423,Zagreb,45.81797839,16.01751326
7/6/2021 17:30,Qualification,Qualification,Qualification Round 1,CS Fola Esch,FES,Lincoln Red Imps FC,LIN,2,2,0-1,2-Feb,Stade Emile Mayrisch,3900,Esch-sur-Alzette,49.48866471,5.987162718
7/6/2021 16:00,Qualification,Qualification,Qualification Round 1,FC Flora Tallinn,FLO,Hibernians FC,HIB,2,0,0-0,Feb-00,A. Le Coq Arena,15000,Tallinn,59.421307,24.732178
7/6/2021 16:00,Qualification,Qualification,Qualification Round 1,HJK Helsinki,HJK,FK Buducnost,BUD,3,1,1-Mar,1-Mar,Helsinki Football Stadium,10770,Helsinki,60.18583259,24.92016299
7/6/2021 18:00,Qualification,Qualification,Qualification Round 1,FK Shkendija,SHK,NS Mura,MUR,0,1,0-1,0-1,Ecolog Arena,15000,Tetovo,48.218967,11.623746
7/6/2021 17:00,Qualification,Qualification,Qualification Round 1,Zalgiris Vilnius,ZAL,Linfield FC,LIN,3,1,Feb-00,1-Mar,LFF Stadium,5400,Vilnius,54.66783066,25.28999884
7/6/2021 17:00,Qualification,Qualification,Qualification Round 1,FC CFR 1907 Cluj,CFR,FK Borac Banja Luka,BBL,3,1,1-Feb,1-Mar,Dr. Constantin Radulescu,23500,Cluj Napoca,46.76667,23.6
7/7/2021 16:00,Qualification,Qualification,Qualification Round 1,FC Dinamo Tbilisi,TBI,FK Neftchi Baku,NEB,1,2,1-Jan,2-Jan,Boris Paichadze Dinamo Arena,54549,Tbilisi,41.72046878,44.78718685
7/13/2021 20:00,Qualification,Qualification,Qualification Round 1,Valur Reykjavik,VAL,GNK Dinamo Zagreb,DIN,0,2,0-1,0-2,HlÃƒÂ­darendi Reykjavik,2000,Reykjavik,64.128288,-21.827774
7/13/2021 19:30,Qualification,Qualification,Qualification Round 1,FC Shakhter Soligorsk,SHS,Ludogorets 1945 Razgrad,LUD,0,1,0-0,0-1,Stroitel Stadium,4200,Soligorsk,52.79833,27.53833
7/13/2021 18:00,Qualification,Qualification,Qualification Round 1,NS Mura,MUR,FK Shkendija,SHK,5,0,Feb-00,May-00,Mesti Stadion Fazanerija,5000,Murska Sobota,46.66823523,16.15692207
7/13/2021 16:00,Qualification,Qualification,Qualification Round 1,Lincoln Red Imps FC,LIN,CS Fola Esch,FES,5,0,Feb-00,May-00,Victoria Stadium,5000,Gibraltar,36.14294609,-5.350203599
7/13/2021 17:00,Qualification,Qualification,Qualification Round 1,FC Sheriff Tiraspol,SHF,KF Teuta,TEU,1,0,Jan-00,Jan-00,Sheriff Stadium,14000,Tiraspol,46.83649665,29.55433112
7/13/2021 16:00,Qualification,Qualification,Qualification Round 1,"Riga FC	",RFC,Malmo FF,MAL,1,1,0-1,1-Jan,Skonto,9500,Riga,56.946,24.10589
