match_start,group_name,home_team_name,home_team_short_code,away_team_name,away_team_short_code,stats_home_score,stats_away_score,stats_halftime_score,stats_fulltime_score,venue_name,venue_capacity,venue_city,latitude,longitude
6/14/2018 15:00,A,Russia,RUS,Saudi Arabia,KSA,5,0,Feb-00,May-00,Luzhniki Stadium,78011,Moscow,55.715786,37.553703
6/15/2018 12:00,A,Egypt,EGY,Uruguay,URU,0,1,0-0,0-1,Central Stadium,35061,Ekaterinburg,46.38022,48.05684
6/15/2018 15:00,B,Morocco,MAR,Iran,IRI,0,1,0-0,0-1,Gazprom Arena,70000,Saint Petersburg,59.972733,30.21921
6/15/2018 18:00,B,Portugal,POR,Spain,ESP,3,3,1-Feb,3-Mar,Fisht Olympic Stadium,47659,Sochi,43.402245,39.956
6/16/2018 10:00,C,France,FRA,Australia,AUS,2,1,0-0,1-Feb,Kazan Arena,45093,Kazan,55.818837,49.158497
6/16/2018 13:00,D,Argentina,ARG,Iceland,ISL,1,1,1-Jan,1-Jan,Otkritie Arena,45360,Moscow,55.715786,37.553703
6/16/2018 16:00,C,Peru,PER,Denmark,DEN,0,1,0-0,0-1,Mordovia Arena,41685,Saransk,54.1838,45.1749
6/16/2018 19:00,D,Croatia,CRO,Nigeria,NGR,2,0,Jan-00,Feb-00,Kaliningrad Stadium,33973,Kaliningrad,54.70649,20.51095
6/17/2018 12:00,E,Costa Rica,CRC,Serbia,SRB,0,1,0-0,0-1,Samara Arena,44918,Samara,53.20007,50.15
6/17/2018 15:00,F,Germany,GER,Mexico,MEX,0,1,0-1,0-1,Luzhniki Stadium,78011,Moscow,55.715786,37.553703
6/17/2018 18:00,E,Brazil,BRA,Switzerland,SUI,1,1,Jan-00,1-Jan,Rostov Arena,45000,Rostov-on-Don,47.23135,39.72328
6/18/2018 12:00,F,Sweden,SWE,Republic of Korea,KOR,1,0,0-0,Jan-00,Nizhny Novgorod Stadium,43319,Nizhny Novgorod,56.30565044,43.9240063
6/18/2018 15:00,G,Belgium,BEL,Panama,PAN,3,0,0-0,Mar-00,Fisht Olympic Stadium,47659,Sochi,43.402245,39.956
6/18/2018 18:00,G,Tunisia,TUN,England,ENG,1,2,1-Jan,2-Jan,Volgograd Arena,43713,Volgograd,43.402245,39.956
6/19/2018 12:00,H,Colombia,COL,Japan,JPN,1,2,1-Jan,2-Jan,Mordovia Arena,41685,Saransk,54.1838,45.1749
6/19/2018 15:00,H,Poland,POL,Senegal,SEN,1,2,0-1,2-Jan,Otkritie Arena,45360,Moscow,55.715786,37.553703
6/19/2018 18:00,A,Russia,RUS,Egypt,EGY,3,1,0-0,1-Mar,Gazprom Arena,70000,Saint Petersburg,59.972733,30.21921
6/20/2018 12:00,B,Portugal,POR,Morocco,MAR,1,0,Jan-00,Jan-00,Luzhniki Stadium,78011,Moscow,55.715786,37.553703
6/20/2018 15:00,A,Uruguay,URU,Saudi Arabia,KSA,1,0,Jan-00,Jan-00,Rostov Arena,45000,Rostov-on-Don,47.23135,39.72328
6/20/2018 18:00,B,Iran,IRI,Spain,ESP,0,1,0-0,0-1,Kazan Arena,45093,Kazan,55.818837,49.158497
6/21/2018 12:00,C,Denmark,DEN,Australia,AUS,1,1,1-Jan,1-Jan,Samara Arena,44918,Samara,53.20007,50.15
6/21/2018 15:00,C,France,FRA,Peru,PER,1,0,Jan-00,Jan-00,Central Stadium,35061,Ekaterinburg,46.38022,48.05684
6/21/2018 18:00,D,Argentina,ARG,Croatia,CRO,0,3,0-0,0-3,Nizhny Novgorod Stadium,43319,Nizhny Novgorod,56.30565044,43.9240063
6/22/2018 12:00,E,Brazil,BRA,Costa Rica,CRC,2,0,0-0,Feb-00,Gazprom Arena,70000,Saint Petersburg,59.972733,30.21921
6/22/2018 15:00,D,Nigeria,NGR,Iceland,ISL,2,0,0-0,Feb-00,Volgograd Arena,43713,Volgograd,43.402245,39.956
6/22/2018 18:00,E,Serbia,SRB,Switzerland,SUI,1,2,Jan-00,2-Jan,Kaliningrad Stadium,33973,Kaliningrad,54.70649,20.51095
6/23/2018 12:00,G,Belgium,BEL,Tunisia,TUN,5,2,1-Mar,2-May,Otkritie Arena,45360,Moscow,55.715786,37.553703
